what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433991843353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433991857671
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1433991862007
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1433991870841
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433991871349
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1433991942069
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433991954904
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1433991964494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433991979504
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1433992020766
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1433992030243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433992071940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433992081324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1433992081373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433992090142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433992132179
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1433992135168
executed,command,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors.lineNumberToggle",1433992139004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433992143552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433992149598
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433992212919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433992216655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433992219098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433992321130
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1433992326949
